ax,ay,az,gx,gy,gz,mx,my,mz,acc_mag,rms_acc,acc_var,classification
0.89,-0.41,-0.21,-14.59,54.02,-19.47,0.0,-61.0,-26.0,1.0021476937058729,,,Unknown
0.88,-0.42,-0.22,-12.63,45.17,-12.82,1.0,-64.0,-24.0,0.999599919967984,,,Unknown
0.82,-0.45,-0.34,-40.95,39.98,-10.01,1.0,-63.0,-15.0,0.995238664843765,,,Unknown
0.81,-0.55,-0.38,-43.21,34.91,-2.69,5.0,-61.0,-14.0,1.05023806824929,1.0304795000386955,0.013092749346220862,Intentional Slow
0.8,-0.56,-0.37,-36.13,29.24,6.96,6.0,-63.0,-9.0,1.044270080008041,1.0308748711652642,0.013092757485650574,Intentional Slow
0.78,-0.5,-0.33,-28.2,27.4,5.13,10.0,-63.0,-5.0,0.9835141076771599,1.0305076418930623,0.013109528902178948,Intentional Slow
0.75,-0.55,-0.4,-25.15,23.07,6.1,12.0,-60.0,-7.0,1.0124228365658292,1.030488233799882,0.013109958363658324,Intentional Slow
0.77,-0.56,-0.36,-34.73,9.7,5.55,15.0,-58.0,-8.0,1.0178899744078433,1.0306352410043043,0.013105761959281249,Intentional Slow
0.79,-0.59,-0.31,-42.18,-0.55,7.02,15.0,-60.0,-3.0,1.033585990617133,1.031220635945577,0.01308012067381222,Intentional Slow
0.8,-0.64,-0.31,-32.35,-8.06,14.47,20.0,-62.0,-7.0,1.0703737664946764,1.0342925118166524,0.012117896479693668,Intentional Slow
0.83,-0.6,-0.22,-44.13,-10.44,21.85,21.0,-61.0,-3.0,1.0475208828467335,1.031978681950359,0.011598210286475013,Intentional Slow
0.85,-0.6,-0.23,-129.15,-27.4,39.25,24.0,-61.0,3.0,1.0655515003977987,1.0284668200773421,0.010457219539713833,Intentional Slow
0.88,-0.68,-0.18,-206.48,-113.53,72.94,34.0,-61.0,6.0,1.126587768440613,1.023979980273052,0.008447356259282874,Intentional Slow
0.95,-0.23,0.54,-145.2,-168.27,135.8,64.0,-41.0,17.0,1.1166915420114905,1.0274512153868913,0.00768616950500423,Intentional Slow
0.64,0.14,-0.07,-83.07,-207.28,138.06,72.0,-23.0,1.0,0.6588626564011654,1.0250502426710606,0.00898408759381358,Intentional Slow
0.13,0.67,1.25,24.96,-129.27,172.24,71.0,-5.0,-14.0,1.4241839768793918,1.0305789634957625,0.01054636416775427,Intentional Slow
-1.14,0.15,0.99,56.03,141.78,61.04,63.0,-3.0,-23.0,1.5173002339682151,1.0363874758023661,0.012961510571350065,Intentional Slow
-0.49,-0.0,0.79,59.27,94.79,-19.84,56.0,-12.0,-3.0,0.929623579735368,1.0339477743097085,0.012859840198598881,Intentional Slow
0.23,0.18,0.87,52.37,23.8,-51.09,57.0,-12.0,4.0,0.9177145525706781,1.0309975751668865,0.01265753025507452,Intentional Slow
1.05,0.19,0.88,53.34,-7.63,-57.74,51.0,-10.0,5.0,1.3831124321616084,1.0332240802459067,0.013620745079259736,Intentional Slow
1.27,-0.11,0.9,-22.77,14.1,6.41,51.0,-10.0,0.0,1.5604486534327235,1.0411786590206313,0.016252625789820535,Intentional Slow
0.75,0.38,0.7,-20.94,16.05,41.02,58.0,-15.0,6.0,1.0940292500660116,1.0432281629634048,0.016038859306393757,Intentional Slow
-0.38,0.04,0.69,-16.66,-33.75,-3.11,54.0,-17.0,1.0,0.7887331614684397,1.042886858676434,0.016238181513602134,Intentional Slow
-0.68,-0.06,1.63,-26.67,-24.78,13.31,52.0,-13.0,0.0,1.7671728834497207,1.0536759463895908,0.021463409002350203,Intentional Slow
-0.27,0.03,0.8,2.08,-5.68,-17.64,53.0,-14.0,0.0,0.844866853415377,1.0509881064978805,0.021776320947327083,Intentional Slow
0.97,0.06,1.21,68.48,1.59,-58.59,57.0,-9.0,0.0,1.5519664944836922,1.0548350581963042,0.023903308782110864,Normal
1.43,-0.1,0.93,-32.23,21.3,-9.64,57.0,-9.0,3.0,1.708742227487809,1.0621059269206627,0.028169442383948497,Normal
0.6,0.31,0.62,-21.55,-31.31,92.9,58.0,-12.0,5.0,0.9167878707749137,1.0590741239403407,0.0280476031627897,Normal
-0.94,0.05,0.85,-10.93,-70.74,6.77,56.0,-12.0,0.0,1.2683059567785684,1.0605677724690676,0.028462329733570296,Normal
-0.94,0.39,0.76,18.92,26.0,-9.22,52.0,-12.0,-9.0,1.270157470552372,1.065893052796574,0.027666975751334172,Normal
0.25,0.33,0.65,35.71,-20.57,-51.88,57.0,-8.0,-1.0,0.7706490770772388,1.064951642094607,0.028206739312313326,Normal
1.52,-0.03,1.37,32.9,4.82,-50.42,56.0,-3.0,-4.0,2.0465092230429844,1.0805919673956492,0.03787592124874914,Normal
1.03,-0.35,0.94,-43.09,29.54,75.87,60.0,-4.0,-5.0,1.4377065069060515,1.0853653762673654,0.039253452739102225,Normal
