ax,ay,az,gx,gy,gz,mx,my,mz
0.26,0.20,0.29,-81.48,22.16,-78.12,67.00,-7.00,-3.00
0.90,0.69,2.19,-35.03,255.13,-101.01,62.00,-9.00,0.00
0.78,-0.02,0.49,-178.34,224.79,-142.27,62.00,-35.00,17.00
0.89,-0.72,0.00,-40.16,-193.18,120.54,63.00,-56.00,17.00
0.45,0.66,2.34,-47.12,-233.40,4.39,66.00,-28.00,10.00
0.40,-0.38,1.05,10.01,-76.48,23.93,67.00,-17.00,6.00
0.40,-0.15,1.34,-38.51,-165.89,160.83,67.00,-8.00,-1.00
0.05,-0.74,1.10,48.22,-202.64,125.73,63.00,0.00,-10.00
0.17,0.76,2.56,14.53,-8.91,183.23,64.00,-3.00,-14.00
-0.08,0.22,1.62,27.53,-13.00,118.29,57.00,-6.00,-11.00
-0.31,0.53,1.21,77.15,-2.08,108.09,55.00,-5.00,-14.00
-0.17,0.03,1.79,-19.17,-35.77,122.56,56.00,-9.00,-17.00
0.11,-0.34,1.17,22.40,-36.25,77.09,58.00,-9.00,-12.00
0.19,-0.63,0.45,35.16,-45.23,-18.25,60.00,-11.00,-7.00
0.55,-0.70,0.67,-67.50,-93.93,49.07,70.00,-5.00,2.00
0.48,-0.78,1.25,0.37,-141.30,79.90,68.00,-4.00,-1.00
0.32,-0.74,0.77,-139.40,-155.15,-12.45,61.00,-3.00,-3.00
0.65,-1.63,0.32,-98.63,-72.39,1.65,60.00,-1.00,-7.00
-0.03,-1.76,-1.06,-321.78,-159.67,33.14,72.00,0.00,-7.00
-0.25,-2.33,-2.24,-235.11,-186.04,-20.32,60.00,-8.00,-2.00
-0.11,-2.39,-0.62,-366.94,-147.03,-60.30,50.00,-5.00,-1.00
-0.44,-2.63,-0.95,-369.38,-120.48,-15.75,50.00,-2.00,-11.00
-0.37,-2.10,-0.78,-76.60,-62.01,31.01,61.00,0.00,-18.00
-0.52,-0.92,0.25,-11.47,49.26,-100.04,56.00,0.00,-17.00
-0.17,-0.49,0.75,-231.93,65.12,-64.09,53.00,-7.00,-15.00
-0.03,-0.38,0.65,-118.16,51.45,-87.83,60.00,-7.00,-8.00
-0.11,0.58,1.28,37.35,97.17,-135.19,60.00,-3.00,0.00
0.25,1.00,1.26,114.38,60.49,-36.44,55.00,-3.00,-8.00
0.58,0.90,2.51,7.20,25.27,13.12,58.00,-6.00,-11.00
0.41,2.16,2.01,44.07,115.72,-39.61,63.00,-2.00,-14.00
0.34,2.11,1.65,21.06,55.85,-2.62,67.00,2.00,-3.00
0.01,2.27,1.98,-41.32,-1.16,27.83,67.00,-6.00,-10.00
-0.32,2.26,1.17,-43.40,-7.57,-26.25,61.00,-10.00,-12.00
-0.44,2.18,0.92,116.15,17.82,15.99,65.00,26.00,-23.00
-0.63,1.68,1.11,102.66,6.90,-1.16,76.00,79.00,-58.00
-0.35,1.23,1.33,84.96,31.92,1.83,56.00,0.00,-28.00
0.14,0.55,1.20,-1.77,19.04,92.90,60.00,-7.00,-15.00
0.33,0.00,1.54,88.44,-13.24,63.23,67.00,-5.00,-10.00
0.31,-0.19,1.06,65.73,-47.79,16.78,68.00,-4.00,-12.00
0.40,-1.14,-0.17,-34.30,-133.42,-87.10,60.00,-2.00,-6.00
0.52,-1.66,-0.11,-166.63,-115.78,-40.47,58.00,-4.00,-16.00
0.60,-2.12,-0.24,-331.54,-58.47,97.72,72.00,-4.00,-14.00
0.08,-2.32,-0.69,-264.59,-105.65,79.65,73.00,-10.00,-8.00
-0.25,-1.90,-0.41,-134.64,-86.36,114.62,63.00,-8.00,-11.00
-0.44,-1.48,-0.82,-70.19,-12.70,-7.26,59.00,0.00,-19.00
-0.29,0.59,0.83,-132.93,62.26,-29.42,60.00,2.00,-13.00
0.08,0.57,0.64,155.21,8.00,-21.61,63.00,-7.00,-17.00
0.16,0.29,0.83,-24.41,-11.35,3.30,62.00,-10.00,-8.00
0.33,-0.75,0.87,93.51,-79.04,60.61,66.00,-11.00,-13.00
0.17,-0.51,0.74,-34.36,-81.05,26.37,69.00,-11.00,-8.00
0.07,-0.40,0.42,13.92,-24.17,-23.93,69.00,-7.00,-10.00
-0.03,0.25,0.99,-37.41,12.82,-61.22,64.00,1.00,-16.00
-0.19,0.03,0.68,40.95,108.89,-64.76,61.00,-4.00,-18.00
-0.18,0.56,1.06,-0.12,91.37,-13.61,59.00,-2.00,-20.00
0.21,0.65,1.66,55.24,62.07,36.50,63.00,-1.00,-21.00
0.15,1.26,2.41,94.42,55.30,98.51,67.00,0.00,-15.00
-0.13,0.88,1.32,148.07,-44.37,123.17,71.00,2.00,-15.00
0.04,0.46,1.54,73.55,-56.09,106.99,68.00,-5.00,-22.00
-0.03,-0.15,1.30,-34.36,-25.39,116.82,64.00,-8.00,-20.00
-0.11,-0.06,1.47,52.43,-45.90,143.13,62.00,-6.00,-22.00
-0.13,-0.93,-0.01,-78.80,-85.94,54.81,56.00,-5.00,-14.00
-0.23,-1.06,-0.46,-8.24,-46.02,4.03,56.00,-8.00,-20.00
-0.31,-0.92,-0.22,-28.56,-5.13,-17.46,45.00,-10.00,-24.00
-0.21,-0.41,0.56,-114.99,46.08,-47.55,46.00,-11.00,-20.00
-0.15,0.05,0.97,-135.93,50.11,-42.54,57.00,-9.00,-12.00
0.01,1.25,2.07,-31.31,72.27,-32.65,58.00,-10.00,-19.00
0.07,1.66,1.89,76.05,46.75,-10.31,67.00,-10.00,-14.00
0.35,-0.07,0.90,132.32,-19.35,-3.85,72.00,-8.00,-8.00
-0.02,0.01,0.85,71.78,23.01,-39.00,63.00,0.00,-14.00
-0.03,0.44,1.00,61.46,145.20,-77.21,59.00,2.00,-20.00
0.10,0.73,1.65,156.25,179.93,32.41,60.00,0.00,-22.00
0.23,0.81,2.16,62.93,141.60,45.10,60.00,2.00,-11.00
0.30,0.87,2.07,104.06,89.60,108.09,84.00,17.00,2.00
0.33,0.12,1.20,-29.72,132.63,9.95,85.00,-7.00,19.00
0.46,0.24,0.71,-46.51,117.80,-5.55,65.00,-28.00,18.00
0.73,0.28,0.57,70.37,153.32,-35.10,53.00,-50.00,19.00
0.94,0.02,0.27,-27.40,33.02,-42.72,53.00,-56.00,18.00
0.76,0.18,-0.05,-2.75,-69.76,26.79,55.00,-53.00,17.00
0.44,0.32,0.14,-53.04,-189.39,5.49,59.00,-45.00,14.00
0.30,2.51,2.87,258.54,166.44,-65.73,58.00,-15.00,-2.00
-0.48,0.84,1.15,178.34,56.52,-23.93,53.00,-10.00,-12.00
-0.09,1.31,1.71,95.83,-4.09,8.42,54.00,-9.00,-14.00
0.05,0.85,2.10,127.56,-42.72,82.03,60.00,-11.00,-15.00
